Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,MLT,Malta,Hib3,97,99,99,99,96,76,73,72,72,83,83,83,84,84,84,93,91,89,64,38,,,,,,,,,,,,,,,,
WPR,MHL,Marshall Islands (the),Hib3,70,65,66,67,80,92,99,92,83,60,69,46,70,80,45,45,,,,,,,,,,,,,,,,,,,,
AFR,MRT,Mauritania,Hib3,73,84,80,80,75,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,Hib3,97,97,98,98,98,99,99,99,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,MEX,Mexico,Hib3,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),Hib3,61,65,68,66,72,70,73,73,79,59,74,65,68,70,73,75,40,,,,,,,,,,,,,,,,,,,
EUR,MCO,Monaco,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,Hib3,99,99,98,99,99,96,97,96,78,56,28,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MNE,Montenegro,Hib3,89,91,94,94,90,90,87,93,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,Hib3,99,99,99,99,99,99,99,99,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,Hib3,80,79,78,76,76,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,Hib3,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,Hib3,92,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,Hib3,91,95,87,79,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,NPL,Nepal,Hib3,91,92,92,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,NLD,Netherlands (the),Hib3,96,96,97,97,97,97,97,97,96,96,96,97,97,96,96,96,96,96,96,,,,,,,,,,,,,,,,,
WPR,NZL,New Zealand,Hib3,92,93,92,93,94,89,98,86,78,80,80,83,85,88,90,90,88,81,86,,,,,,,,,,,,,,,,,
AMR,NIC,Nicaragua,Hib3,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,80,,,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),Hib3,65,68,67,71,75,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,NGA,Nigeria,Hib3,56,49,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,NIU,Niue,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
EUR,NOR,Norway,Hib3,95,94,95,95,95,94,95,94,95,95,93,94,94,95,93,93,94,95,96,97,,,,,,,,,,,,,,,,
EMR,OMN,Oman,Hib3,99,99,98,98,99,99,98,99,99,98,99,99,99,97,,,,,,,,,,,,,,,,,,,,,,
EMR,PAK,Pakistan,Hib3,72,72,72,72,74,82,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,Hib3,89,99,99,89,85,66,48,92,95,98,98,98,94,90,93,96,96,74,,,,,,,,,,,,,,,,,,
AMR,PAN,Panama,Hib3,73,80,80,85,87,94,85,86,85,88,92,95,98,99,99,,,,,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,Hib3,62,62,68,63,61,56,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,Hib3,87,87,86,87,89,89,85,87,88,92,93,92,86,,,,,,,,,,,,,,,,,,,,,,,
AMR,PER,Peru,Hib3,90,88,88,95,91,93,93,93,93,94,94,96,41,40,38,43,28,12,,,,,,,,,,,,,,,,,,
WPR,PHL,Philippines (the),Hib3,60,79,94,23,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,POL,Poland,Hib3,98,98,99,99,99,99,99,98,88,31,22,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,PRT,Portugal,Hib3,98,98,98,98,97,97,96,97,97,97,93,95,99,94,90,86,91,95,,,,,,,,,,,,,,,,,,
EMR,QAT,Qatar,Hib3,99,89,99,92,93,97,99,97,94,96,97,96,92,96,93,80,92,94,92,,,,,,,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),Hib3,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MDA,Republic of Moldova (the),Hib3,86,89,89,90,78,63,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
