Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,SWZ,Swaziland,HepB3,98,98,98,95,91,89,88,90,92,93,95,93,90,88,86,83,81,78,76,76,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,HepB3,53,53,53,53,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,CHE,Switzerland,HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),HepB3,41,47,71,43,66,84,84,83,83,83,83,82,81,80,80,79,78,77,76,75,74,64,23,5,,,,,,,,,,,,
EUR,TJK,Tajikistan,HepB3,96,97,96,94,96,93,93,86,84,88,81,81,58,39,,,,,,,,,,,,,,,,,,,,,,
SEAR,THA,Thailand,HepB3,99,99,99,98,98,98,98,98,96,96,96,96,96,95,95,95,95,95,94,93,93,66,58,15,,,,,,,,,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,HepB3,92,97,97,98,96,90,95,97,96,89,53,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,HepB3,76,77,82,83,67,72,72,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,HepB3,88,87,84,84,85,83,78,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,HepB3,82,82,82,77,82,82,84,84,87,89,89,90,85,88,91,93,90,95,95,94,91,90,96,82,88,94,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,HepB3,90,92,92,92,90,90,90,90,89,89,95,94,76,5,,,,,,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,HepB3,98,98,98,97,98,98,99,99,98,99,97,96,92,93,94,94,94,91,88,83,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,HepB3,96,96,97,97,96,96,94,92,96,82,85,77,68,72,77,71,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,HepB3,99,97,98,98,97,96,97,96,98,98,99,96,97,96,,,,,,,,,,,,,,,,,,,,,,
